,delta,theta,alpha,beta,gamma
Fp1,0.58815885,0.5290643,0.33801386,0.1107977,0.031357624
Fp2,0.0630632,0.07269671,0.025568904,0.0110508045,0.0035663461
F3,0.07685923,0.08453144,0.049233392,0.028106434,0.0052904813
F4,0.033260997,0.04114109,0.023771342,0.018208493,0.0041827094
F7,0.033434834,0.02009241,0.017705975,0.0052909004,0.0015602325
F8,0.25871146,0.27854916,0.11663503,0.039667364,0.0123084085
T3,0.08074682,0.08199425,0.04691192,0.023060825,0.00511929
T4,0.076817684,0.066945426,0.10700971,0.051608574,0.012754767
C3,0.014958838,0.015000446,0.013949154,0.007270695,0.001771366
C4,0.03159912,0.022705885,0.021060962,0.0075708088,0.001690413
T5,0.008972916,0.009838969,0.004837966,0.002448527,0.0010641066
T6,0.010574321,0.009366292,0.0077958647,0.004918062,0.0010305303
P3,0.06965336,0.085653685,0.049933776,0.037466638,0.0093432795
P4,0.030400293,0.028510354,0.020108473,0.010482389,0.001910294
O1,0.022266664,0.02851808,0.014080961,0.009506473,0.0016608858
O2,0.03722787,0.03772397,0.0281662,0.020283176,0.00383397
Fz,0.10291531,0.11646091,0.066176385,0.033602804,0.0063327677
Cz,0.09539672,0.0548378,0.05198334,0.013435491,0.0024560413
Pz,0.027529135,0.028416745,0.020286197,0.01300315,0.0031013167
