,mean_abs_shap
gamma_logpow_Fp1,0.5739364833562113
gamma_relpow_T5,0.2640366003662578
gamma_logpow_T4,0.25513164508182856
beta_logpow_Cz,0.22150552555308717
delta_relpow_F8,0.18906974447536468
delta_relpow_Fp1,0.17068103212267313
gamma_logpow_Cz,0.17024069370354813
delta_logpow_Fp1,0.16212087970212052
alpha_relpow_Fp1,0.15599856708604604
gamma_logpow_Fp2,0.14738558593030116
alpha_logpow_Pz,0.14287492978649088
theta_logpow_Fp1,0.0916007240323805
alpha_relpow_Pz,0.08893805149257047
hjorth_complexity_Fp2,0.0878939774722696
gamma_logpow_T6,0.08458504268672268
alpha_logpow_T5,0.07660240028997012
aperiodic_exponent_T6,0.07381987258592969
gamma_logpow_C4,0.07277158135165607
spectral_entropy_O2,0.07215438354314929
beta_logpow_C3,0.06995046469948375
aperiodic_offset_Pz,0.06753514516172279
theta_logpow_Pz,0.06695363135786275
hjorth_complexity_Fp1,0.06659891986864983
delta_logpow_Fp2,0.06630334586292426
beta_logpow_T3,0.06242523735440206
gamma_relpow_Fp1,0.06123351116393092
beta_relpow_F8,0.06097703191977994
alpha_logpow_T3,0.0550646552863232
gamma_logpow_F7,0.05489672350055236
theta_logpow_Fp2,0.05486103241893933
gamma_logpow_F8,0.05108516150823177
gamma_logpow_T5,0.050794268339661226
hjorth_mobility_P4,0.04991144250870031
hjorth_mobility_T6,0.04638355694426297
theta_relpow_Fz,0.045102078595557385
gamma_relpow_F3,0.04437788437585677
beta_logpow_F8,0.04412631452414048
gamma_relpow_T4,0.041854974402005016
aperiodic_offset_Fp1,0.04122218428689057
hjorth_mobility_O1,0.03804252011626295
